Date,Price,Market Cap,Volume
2024-07-01 03:03:05,63310.08733393872,1248405281129.2043,14997175406.522831
2024-07-01 04:05:08,63357.506300123976,1249022154855.8748,22153902443.542763
2024-07-01 05:04:23,63218.44943816029,1246720253880.5054,20688048675.591866
2024-07-01 06:08:40,63346.474433808566,1249112585353.0315,22427876478.298534
2024-07-01 07:09:53,63322.663052667725,1249436838461.5913,22526761134.966343
2024-07-01 08:13:05,63243.00185111405,1246765071785.0557,21156568025.905727
2024-07-01 09:05:27,62879.02395742119,1239911662053.4602,21616411073.394497
2024-07-01 10:05:26,62845.526407546575,1239251273903.9243,19559360732.4315
2024-07-01 11:02:13,62809.189185141324,1238534778396.9368,21519811322.717815
2024-07-01 12:11:09,62640.41412403895,1233984675010.2578,22225504744.08954
2024-07-01 13:02:15,62802.195762503536,1238462976934.3118,22064038695.67756
2024-07-01 14:01:31,62613.54903426057,1233546165499.8376,22922926585.52091
2024-07-01 15:01:10,62792.378675684806,1236578383763.9226,24000022945.260296
2024-07-01 16:05:04,63027.42070074545,1241757075724.0168,24664236814.518578
2024-07-01 17:02:48,63011.87639347416,1242405588168.945,25596567782.72289
2024-07-01 18:08:25,63652.87323453718,1252317766019.569,26378472923.055496
2024-07-01 19:07:28,63434.12781427923,1253941829298.4534,27432206940.658382
2024-07-01 20:01:04,63052.97800917564,1245670062268.485,27836479855.17127
2024-07-01 21:12:56,63197.361820796796,1246327164925.218,24347417385.389008
2024-07-01 22:06:24,63080.47247285277,1244073758892.4253,27683218514.919876
2024-07-01 23:09:12,62949.757038255186,1241072871310.3293,24154141033.828796
2024-07-02 00:07:14,62826.911179904506,1238799172479.871,26090135677.990852
2024-07-02 01:04:14,62875.75674636393,1239174293306.0066,25155496171.404247
2024-07-02 02:08:54,62895.107159886094,1239595154803.5193,23885701711.06292
2024-07-02 03:11:52,62960.03655075398,1241466513886.4827,22235719688.74947
2024-07-02 04:07:09,63113.36508935344,1244585125992.6577,20216983771.545498
2024-07-02 05:02:39,62992.851139948136,1243035948301.2014,21782694581.345943
2024-07-02 06:01:21,62944.75076314975,1241158985171.735,19041035272.403572
2024-07-02 07:10:47,62713.6626954499,1237663761623.4744,22214025940.04114
2024-07-02 08:02:25,62542.20837393613,1233184816536.0771,22024740755.88123
2024-07-02 09:08:33,62546.90146610754,1234389316526.8367,22539624891.634842
2024-07-02 10:02:39,62579.21142136503,1234214823412.2256,22821933060.16621
2024-07-02 11:12:44,62575.71596782795,1233966660626.8567,21760633594.339798
2024-07-02 12:07:28,62704.816681650904,1237271563842.6572,22485307785.993496
2024-07-02 13:01:41,62805.365586281885,1241815954440.7693,22567733827.333897
2024-07-02 14:10:31,62617.284848841926,1233365986322.8877,22605727809.227886
2024-07-02 15:05:17,61993.27247736709,1222463132050.4026,21472828807.59354
2024-07-02 16:12:30,61815.240774380596,1218952473804.1133,21247143693.072018
2024-07-02 17:04:39,61844.57371201113,1219532073466.7034,20554427939.190376
2024-07-02 18:02:25,62094.11258121884,1222729411777.255,22375413472.03698
2024-07-02 19:01:32,62256.053811755926,1228222968208.6926,19390053912.599373
2024-07-02 20:02:36,61914.98477030604,1220255399984.3127,20385644151.668766
2024-07-02 21:03:39,61936.15561918698,1221339367713.7913,20053337524.587883
2024-07-02 22:05:41,61910.472420665166,1220833098029.4678,18144290514.611088
2024-07-02 23:07:21,62029.4494937256,1223255513500.1892,20220239442.56839
2024-07-03 00:08:48,62069.99123220051,1222901857941.0586,19352215291.544132
2024-07-03 01:04:37,61989.308907058155,1222388878596.3972,18129694358.39895
2024-07-03 02:08:11,61406.34596520202,1208702533685.853,19025662844.10006
2024-07-03 03:09:00,61242.739675293175,1208249614191.0862,21241956293.362934
2024-07-03 04:06:47,60769.98613066456,1200615017553.6267,22685000561.728096
2024-07-03 05:09:47,60801.25430887933,1197892329851.984,22323215484.56029
2024-07-03 06:00:18,60961.1908085858,1201749614784.8418,22913195058.69978
2024-07-03 07:07:44,60919.78976803358,1201296304027.502,20290141510.00948
2024-07-03 08:06:13,60799.45622303615,1198430510940.3257,22284161377.74436
2024-07-03 09:10:11,60417.591806072865,1193128713932.536,22860409342.851364
2024-07-03 10:01:10,60511.01267592566,1194044081338.7039,22981816895.08412
2024-07-03 11:06:53,60187.361785738554,1188725871468.2715,25329561960.710705
2024-07-03 12:10:22,60184.708109952655,1188896490429.906,26311336094.688297
2024-07-03 13:10:27,59806.87425955481,1182706565232.2092,27245527274.976482
2024-07-03 14:02:37,60506.81684105061,1193156792865.4429,27314306843.492767
2024-07-03 15:05:16,60217.68768076043,1187455345662.8582,26385955948.7706
2024-07-03 16:02:59,60119.6569758108,1185907366888.5676,27045910705.666977
2024-07-03 17:11:27,60377.64969349297,1191186414757.7793,27733295707.377926
2024-07-03 18:06:21,60324.50778147703,1185976091595.8467,27913352958.87564
2024-07-03 19:06:08,60095.36814276449,1186758752390.0193,27775723187.180992
2024-07-03 20:10:37,59745.8278835818,1178150563959.2896,28663278715.510838
2024-07-03 21:01:30,59563.92273028924,1174563507481.3655,26905753275.702103
2024-07-03 22:10:23,60147.75475815409,1187498306258.3013,30090581488.54869
2024-07-03 23:08:01,60242.774086307996,1187950033976.512,30303593677.95991
2024-07-04 00:08:51,60182.99341375096,1186937170314.9272,30392404224.147316
2024-07-04 01:02:38,60398.52778331812,1191015988778.9792,29597489227.607216
2024-07-04 02:11:31,58128.71854045257,1152496162776.676,33355660297.44243
2024-07-04 03:09:01,58985.14563324322,1162626009487.5505,34568522100.55703
