Date,Price,Market Cap,Volume
2024-08-01 03:01:53,64097.714930570866,1263819339084.681,34622017241.209404
2024-08-01 04:24:39,63834.80063494772,1261156875753.7832,35845040019.47006
2024-08-01 05:00:43,63721.93355153429,1257942477328.5134,35902545216.616905
2024-08-01 06:05:02,64274.351929349235,1268944024700.0342,32205413270.85924
2024-08-01 07:21:31,64420.621183666044,1270225652290.1382,36203568404.94649
2024-08-01 08:11:56,64389.39445686197,1270697064467.99,28617452636.229378
2024-08-01 09:02:13,64481.80674403229,1272526920182.3367,36212002590.69505
2024-08-01 10:31:37,64378.218179300435,1269762036347.2437,36784829115.75878
2024-08-01 11:19:15,64455.29566400672,1271925787347.1914,36847033145.86101
2024-08-01 12:17:09,64775.5764047226,1277392758490.0415,32828064071.84694
2024-08-01 13:04:08,64863.734243143386,1279950594336.544,30297141514.142723
2024-08-01 14:11:00,64502.95844934308,1272346208994.425,28092786313.522778
2024-08-01 15:10:33,63653.73204764945,1254497366340.2314,35644390324.896416
2024-08-01 16:13:23,63039.61321929871,1243338258919.1445,38076601037.94755
2024-08-01 17:20:51,62632.715920296716,1235950751401.5894,30191146293.649837
2024-08-01 18:27:23,63009.64215986377,1246439744263.906,29648576052.127953
2024-08-01 19:14:59,63114.796938027175,1245727749205.1982,36115714583.58023
2024-08-01 20:19:48,63470.00809338543,1253270236833.6611,40146373729.77979
2024-08-01 21:24:50,64739.04900637115,1277829769692.653,40132867595.29417
2024-08-01 22:12:55,65192.92208936958,1288687658561.0552,36355838704.95827
2024-08-01 23:01:38,65113.968146280924,1286280791116.442,42733459226.02746
2024-08-02 00:00:29,65357.52960767435,1289157073527.528,38911302447.60912
2024-08-02 01:19:48,64651.809067422546,1277846691666.168,42531881886.19006
2024-08-02 02:23:56,64591.13842610765,1274611207766.2788,17943631118.492775
2024-08-02 03:01:32,64296.111002891805,1269419011575.6262,37885080277.7936
2024-08-02 04:09:50,64570.26276602138,1273647645415.9043,37543158603.33483
2024-08-02 05:26:28,64261.64068615695,1268055664207.6824,18609043918.607464
2024-08-02 06:09:46,64023.16182936194,1265831408607.8196,40103196712.266624
2024-08-02 07:14:49,64285.26864036492,1268608323800.3433,39322091971.205574
2024-08-02 08:14:53,64174.82045353116,1266747275506.4097,41033367246.225555
2024-08-02 09:14:54,64419.574121813355,1273202422162.5525,40350787229.9184
2024-08-02 10:14:56,64343.201131025715,1269348488834.0396,37692421359.23057
2024-08-02 11:14:43,64639.720532610874,1278558886229.5955,41607540163.800354
2024-08-02 12:04:54,64604.6161112339,1276827092141.642,41845582782.73
2024-08-02 13:14:48,64577.69967504684,1273211224003.401,41879775975.17412
2024-08-02 14:18:24,64454.89987171481,1273344896902.2722,40099922551.60709
2024-08-02 15:00:16,63643.178705886974,1256157878774.8596,30732704003.066288
2024-08-02 16:11:44,63420.865118766706,1252002367943.6494,39676161913.748764
2024-08-02 17:16:32,63362.686109651186,1249813633377.64,45960352175.25461
2024-08-02 18:00:33,63045.10495467909,1243633634952.685,42933232130.886086
2024-08-02 19:27:29,62799.98379156461,1239226101326.7769,39805194433.73028
2024-08-02 20:32:48,62194.58031168041,1225267770136.3538,44536544380.70786
2024-08-02 21:26:19,62022.838931858605,1222399790125.848,38597093829.278435
2024-08-02 22:07:07,62033.37243823208,1224150019455.5051,40237615280.25514
2024-08-02 23:13:28,61613.95174407245,1211244765092.2708,44829303869.93758
2024-08-03 00:11:17,61432.842683725976,1212817842971.572,44878514232.21223
2024-08-03 01:23:42,60704.443827114264,1198023371641.7056,44136374428.467026
2024-08-03 02:23:31,61474.314339142365,1211855632197.5156,47971433920.37681
2024-08-03 03:23:11,61565.257396702924,1215036606668.2275,47093485839.30481
2024-08-03 04:01:59,61780.32197507872,1222696878253.1575,47720934531.502045
2024-08-03 05:15:31,61630.62375172196,1215834486260.131,46767162717.84269
2024-08-03 06:14:58,61659.76364409607,1216651985490.8354,46090947102.80705
2024-08-03 07:22:26,61708.649582510785,1218109840375.4114,46144671398.11515
2024-08-03 08:13:35,61643.415454258946,1214568299877.9534,45851031045.57551
2024-08-03 09:08:44,61533.55598525428,1214215623947.4502,40841956899.980644
2024-08-03 10:13:04,61714.67435584251,1216813887653.8147,45381543597.389656
2024-08-03 11:12:55,61795.80497075898,1219568555287.1372,42224305856.27772
2024-08-03 12:22:59,61938.83695126013,1222625386123.7869,39865592880.710495
2024-08-03 13:23:56,61898.42857161585,1221656119719.582,22068641180.896317
2024-08-03 14:09:53,62043.34308752476,1224384843525.296,33637932508.10441
2024-08-03 15:23:46,61751.920475068335,1220724277302.3157,35724241351.9092
2024-08-03 16:33:30,60743.11330851945,1194799731183.5999,31299890206.715633
2024-08-03 17:30:03,60640.511771375175,1195925480856.428,34574796242.19731
2024-08-03 18:00:16,60576.84288062203,1195969796857.311,36187403938.01172
2024-08-03 19:11:56,60237.708892119685,1188515314584.105,36596314700.976494
2024-08-03 20:30:14,60437.43758674458,1193564707425.8499,31933441584.001793
2024-08-03 21:17:52,60315.13301849382,1186487846888.8296,34174501869.824608
2024-08-03 22:25:22,60600.733873834964,1196026098467.4856,34133092745.63713
2024-08-03 23:24:22,60621.40801219012,1193164673457.8071,33566813885.305973
2024-08-04 00:25:55,60746.87044279332,1198327845295.3281,32606523056.284603
2024-08-04 01:17:44,60559.23012888138,1193834967587.559,28012443923.320656
2024-08-04 02:19:21,60835.419680071514,1200481207102.0942,25864484999.031796
2024-08-04 03:14:22,60846.0455362433,1200615065573.2346,26468743373.15841
