Date,Price,Market Cap,Volume
2024-05-01 03:05:23,59867.74122008093,1179126534503.0923,39487361996.12492
2024-05-01 04:06:56,60250.19951951747,1185334006215.8525,39703058587.82861
2024-05-01 05:04:13,60222.06354219467,1185417357507.0378,34431155045.38771
2024-05-01 06:07:14,59941.03405745172,1180280723960.099,34631945014.697075
2024-05-01 07:03:36,59505.80547987652,1174252126746.0535,40175238099.63077
2024-05-01 08:06:51,57257.02641340072,1129261524651.075,43934994653.0157
2024-05-01 09:00:28,56903.01421969973,1119473517526.491,47520017687.02407
2024-05-01 10:04:38,57079.45266919757,1124032176272.9666,48153752845.37943
2024-05-01 11:04:19,57683.04579970379,1135652253497.8694,49002391207.00019
2024-05-01 12:01:20,57812.74612607129,1137020480361.396,38184184533.02089
2024-05-01 13:00:30,57877.05388201031,1141646622222.6638,48055967207.48098
2024-05-01 14:05:59,57340.60493007831,1127175747939.3289,48250872185.26402
2024-05-01 15:02:41,57425.102178796966,1130854046324.1472,48016336880.2204
2024-05-01 16:04:49,56803.96166623669,1117079442086.8152,47974438045.757805
2024-05-01 17:03:11,57020.28018890519,1122882872534.0918,46717455601.1315
2024-05-01 18:02:15,57468.698945478754,1128196907052.7107,47321591964.78955
2024-05-01 19:06:10,59051.99209223489,1159929805290.6907,50601358849.49048
2024-05-01 20:02:53,56852.05728128931,1119573521582.282,26680363494.37954
2024-05-01 21:03:16,57361.4276584326,1129606548977.7048,42288952646.58917
2024-05-01 22:03:25,57831.64729198509,1140444158715.5999,51040599956.86331
2024-05-01 23:03:31,57820.44606293166,1141638632316.825,50552435106.53927
2024-05-02 00:02:15,58305.94431880541,1151677489315.1536,44978119194.0762
2024-05-02 01:01:00,57737.22604405258,1137037529278.9011,52288468014.193405
2024-05-02 02:04:48,57079.422852923904,1123568185488.5464,52446989370.57319
2024-05-02 03:04:46,57405.66733460479,1130428297284.2698,51647191858.64808
2024-05-02 04:04:23,57473.191843285495,1131812900079.5674,41084489232.13217
2024-05-02 05:00:46,57307.52432267306,1130831299501.339,45217807306.684265
2024-05-02 06:07:25,57395.84643691616,1130914816598.1396,52236078195.94653
2024-05-02 07:01:43,57590.46643577258,1134637757935.6353,45119457267.583466
2024-05-02 08:05:27,57635.934438537755,1135022266732.6155,37713003213.077194
2024-05-02 09:05:32,57826.7318073255,1138780557293.5613,43117741200.80383
2024-05-02 10:02:49,57807.054371483224,1137878981457.0317,40486292213.53308
2024-05-02 11:06:20,57807.71365325178,1139026686837.5815,40015541971.22097
2024-05-02 12:03:12,58515.19944879183,1154503543530.5298,39958367777.04829
2024-05-02 13:00:28,58736.52259401188,1158347926461.2637,41742966624.83498
2024-05-02 14:03:57,58422.09286332141,1151201170640.7156,42140140652.26458
2024-05-02 15:03:51,59052.44943874052,1162926146356.7576,25241361013.6906
2024-05-02 16:04:49,59295.06231923319,1166990546374.2144,43103082830.64791
2024-05-02 17:07:30,59007.41650167807,1162723245129.7708,41671448793.584946
2024-05-02 18:05:11,59235.76010332793,1163127560840.2698,40428148369.75543
2024-05-02 19:00:45,59478.171690745745,1171993962854.3955,38798805183.852516
2024-05-02 20:01:39,59264.37219029164,1164611935648.043,35440846079.09493
2024-05-02 21:06:51,58825.09395767242,1155606391157.8577,34630989074.94824
2024-05-02 22:00:56,59103.281695497775,1165428870628.2266,29573400135.36788
2024-05-02 23:01:00,59309.25005810256,1169367523384.0725,34493984288.0679
2024-05-03 00:02:25,59101.80359815795,1163907657541.889,28260772289.334305
2024-05-03 01:05:04,59035.0253990535,1162349444752.399,31741276676.03071
2024-05-03 02:03:37,59312.19127788912,1168090644465.4836,30337956386.376106
2024-05-03 03:02:29,59547.676705263264,1172691750351.6787,25796239883.002064
2024-05-03 04:04:44,59734.71488674994,1176375691659.5388,22584705421.84997
2024-05-03 05:01:29,59576.757362208424,1173265696292.0178,30391398259.837658
2024-05-03 06:02:02,59517.65399145234,1172941659871.8635,30724571343.60158
2024-05-03 07:02:26,59263.634858450976,1167052342547.112,29614402633.244152
2024-05-03 08:00:49,59163.1799465065,1164480313796.9753,30263816126.802044
2024-05-03 09:03:47,59274.362931250864,1167314094596.4734,26185376476.817253
2024-05-03 10:03:43,59512.8142037543,1172010905009.3132,30066825001.9947
2024-05-03 11:06:32,59033.39122749094,1162570548135.1191,29996136761.492435
2024-05-03 12:00:45,59270.4797248366,1164029895675.31,24368317650.698563
2024-05-03 13:01:23,60679.808749638694,1193072061341.434,23917102509.35878
2024-05-03 14:00:22,61545.375162503144,1215207848362.504,31993636939.254017
2024-05-03 15:02:39,61635.099767191765,1213591365381.5588,33237498626.924618
2024-05-03 16:06:18,61812.44744056002,1216170393174.4966,32740893099.647774
2024-05-03 17:03:30,61692.12736984045,1214834170758.2373,28655208500.936592
2024-05-03 18:01:53,61873.31958319993,1218821861446.8867,33443678265.55462
2024-05-03 19:05:22,61824.989972431504,1217580608417.7827,29505060899.320084
2024-05-03 20:03:48,61941.32755803293,1219586038500.458,18212655614.745705
2024-05-03 21:08:31,62900.51280473865,1237732490677.7354,33946373746.479008
2024-05-03 22:01:29,62592.38074912422,1234290503106.864,31455835434.814438
2024-05-03 23:08:27,62846.05917605649,1237516132623.2375,33518411753.793633
2024-05-04 00:07:39,62888.508891304526,1239817041554.716,34515955206.47194
2024-05-04 01:02:49,63123.49150484059,1242701549745.251,28935826807.08753
2024-05-04 02:07:19,62781.52228369981,1239204809804.6978,30038556501.926083
2024-05-04 03:04:13,62706.74841870422,1234930587723.6172,34228492805.57122
