Date,Price,Market Cap,Volume
2024-12-05 22:03:28,99027.87676937091,1962664272404.368,183016521441.1269
2024-12-05 23:00:26,96489.62148540479,1914664942240.048,187187326825.36966
2024-12-06 00:03:20,97071.79475131465,1921157941292.2483,177852288726.2258
2024-12-06 01:03:38,97574.21607147499,1931168634771.5713,178275203924.8356
2024-12-06 02:03:37,98172.54905039177,1945241411456.3694,199755269182.82648
2024-12-06 03:03:31,97544.69358415724,1930513580406.1633,181625080857.6973
2024-12-06 04:03:39,97779.11327272863,1934431487566.391,166101543579.09955
2024-12-06 05:03:31,97937.81606233172,1938310605104.0413,171709718368.17505
2024-12-06 06:03:35,97916.4109662074,1937379486735.2559,161648431426.24857
2024-12-06 07:03:32,98172.93885197869,1940713101986.2886,164865030889.98233
2024-12-06 08:03:28,98184.92051314686,1943135345990.0278,135847698964.14229
2024-12-06 09:03:31,98400.88389964029,1948690683103.469,160328380730.35532
2024-12-06 10:03:28,98035.87690442483,1938938308941.446,159890485539.01236
2024-12-06 11:03:23,98235.61414096713,1943195088710.6724,159247617187.72034
2024-12-06 12:00:10,98113.43650949412,1941520155501.2688,152891262402.27597
2024-12-06 13:03:35,97830.48395710898,1936122000191.9822,154731821578.0135
2024-12-06 14:03:32,98694.3824613745,1954691155239.7004,154932794656.75888
2024-12-06 15:03:34,99609.27564995179,1971198115171.2307,157157918465.6886
2024-12-06 16:08:48,99489.60455947198,1968000681346.371,155260281050.63525
2024-12-06 17:04:04,99271.757616421,1963434625159.7324,153392175011.42706
2024-12-06 18:01:49,100859.98135716809,1998647141199.7,146261713337.78107
2024-12-06 19:03:29,101590.52137336919,2009397583141.731,157257564992.7645
2024-12-06 20:03:23,101575.64176063299,2014593970257.192,155136326666.0097
2024-12-06 21:02:03,101413.6753891751,2004596090589.0227,147695835292.5386
2024-12-06 22:03:14,100557.5295993342,1990782195632.226,135754071876.50246
2024-12-06 23:03:30,100648.83317503057,1991498995665.7222,131200126472.73833
2024-12-07 00:03:28,99928.05521481452,1977536925440.7422,124614459368.77768
2024-12-07 01:03:23,100408.74512687804,1988953092435.6377,124882574106.6771
2024-12-07 02:03:26,100183.5658026874,1982242652375.6238,118392510534.97348
2024-12-07 03:01:07,100076.36139397848,1981137514933.138,116519188767.23166
2024-12-07 04:03:21,99431.7288518576,1969394514263.985,115680330192.31702
2024-12-07 05:00:30,99699.55259705188,1973074228924.3806,115049306639.69743
2024-12-07 06:02:08,99260.72893790831,1965225637406.794,107735846915.57262
2024-12-07 07:05:09,99491.31611217723,1969031597915.2861,110510664824.63795
2024-12-07 08:03:04,99596.43186712274,1969722653291.1072,113662304998.86687
2024-12-07 09:00:22,99648.40484337529,1971848106105.458,109489968688.60544
2024-12-07 10:03:27,99777.65421197002,1973356137261.5361,109214801068.09412
2024-12-07 11:00:41,99639.93318003212,1971665105881.369,106516492908.35236
2024-12-07 12:02:17,99746.17018634557,1974641457430.5088,86989999906.26326
2024-12-07 13:01:00,99545.51216053427,1971442224972.822,102538323462.72592
2024-12-07 14:02:28,99454.39921942963,1968259050651.269,96231194902.53601
2024-12-07 15:03:22,99547.60420718354,1968679796930.3062,88534358406.41382
2024-12-07 16:03:24,99877.38414540082,1974096367146.4233,86717391676.41168
2024-12-07 17:03:21,99696.25232916776,1971984160082.8208,82713030294.98064
2024-12-07 18:01:21,99717.2700314381,1972632081912.54,74328549163.63551
2024-12-07 19:00:47,100316.74021996472,1985897626637.6194,71299294122.81981
2024-12-07 20:02:20,100150.4600458066,1982910812143.2166,69801879227.86603
